epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.404,2.35957,3.59647,1.81484,0.01128,0.50611,0.06982,0.01692,2.1469,3.52113,1.64389,8.574e-05,8.574e-05,8.574e-05
2,188.253,2.03713,3.21542,1.47388,0.01908,0.84507,0.22946,0.09156,1.78192,3.35724,1.31472,0.000182092,0.000182092,0.000182092
3,267.084,1.90604,2.88051,1.43288,0.01853,0.81981,0.26854,0.09827,1.747,3.3393,1.30623,0.000274482,0.000274482,0.000274482
4,344.759,1.87856,2.46046,1.42205,0.01829,0.81066,0.2133,0.09156,1.6435,3.25006,1.26062,0.000362912,0.000362912,0.000362912
5,420.713,1.81965,2.29843,1.38246,0.01904,0.82745,0.23717,0.09419,1.67075,3.26698,1.33105,0.00044738,0.00044738,0.00044738
6,498.368,1.81152,2.09412,1.40851,0.01919,0.83109,0.28383,0.13079,1.60175,3.21275,1.31243,0.000527887,0.000527887,0.000527887
7,574.638,1.76345,1.91595,1.39448,0.02029,0.88651,0.32249,0.18,1.53155,3.11711,1.27491,0.000604433,0.000604433,0.000604433
8,651.348,1.78958,1.83101,1.43728,0.01989,0.87298,0.30061,0.1542,1.59721,3.14219,1.32358,0.000677017,0.000677017,0.000677017
9,728.708,1.73225,1.79554,1.41075,0.62411,0.2752,0.41018,0.20794,1.6154,2.83091,1.28264,0.000745641,0.000745641,0.000745641
10,807.466,1.7132,1.72233,1.39962,0.74385,0.1472,0.49518,0.24244,1.55508,2.65532,1.27582,0.000810303,0.000810303,0.000810303
11,883.58,1.72596,1.70441,1.39111,0.70386,0.38603,0.57353,0.2792,1.5712,2.40903,1.24519,0.000871004,0.000871004,0.000871004
12,960.029,1.65869,1.76684,1.37181,0.61599,0.39042,0.50862,0.24301,1.50018,2.39088,1.22876,0.000927744,0.000927744,0.000927744
13,1037.4,1.59132,1.67339,1.31621,0.57517,0.37057,0.47597,0.22632,1.58693,2.37265,1.27865,0.000980523,0.000980523,0.000980523
14,1113.41,1.63172,1.68346,1.37947,0.54146,0.37221,0.47743,0.20921,1.66045,2.46833,1.34055,0.00102934,0.00102934,0.00102934
15,1188.81,1.61834,1.66981,1.33466,0.55274,0.45136,0.54624,0.28192,1.53645,2.20156,1.25575,0.00103288,0.00103288,0.00103288
16,1264.8,1.61272,1.6898,1.34531,0.57085,0.57163,0.60543,0.32622,1.487,1.99274,1.23069,0.00100459,0.00100459,0.00100459
17,1343.2,1.63345,1.6454,1.37333,0.61319,0.59676,0.63763,0.33309,1.4783,1.93223,1.21012,0.000976293,0.000976293,0.000976293
18,1421.04,1.5748,1.55233,1.31503,0.62875,0.64137,0.654,0.33904,1.4986,1.77655,1.25143,0.000947999,0.000947999,0.000947999
19,1500.13,1.57322,1.54395,1.28789,0.69678,0.62023,0.69231,0.41032,1.38765,1.68292,1.20188,0.000919704,0.000919704,0.000919704
20,1577.89,1.52316,1.51884,1.30286,0.65081,0.67311,0.6831,0.43462,1.33802,1.6221,1.20646,0.00089141,0.00089141,0.00089141
